"","gene_name"
"1","rnaset2"
"2","gnsa"
"3","cpvl"
"4","arsa"
"5","LOC100333521"
"6","hexb"
"7","ctsla"
"8","dnase2"
"9","scarb2c"
"10","neu1"
"11","ctsd"
"12","prss59"
"13","gaa2"
"14","csrp1b"
"15","plcl1"
"16","gusb"
"17","cst14a.1"
"18","mbpa"
"19","lamp2"
"20","dhrs12la"
"21","dpp7"
"22","napsa"
"23",NA
"24","ada2a"
"25","pi4k2a"
"26","lgmn"
"27","slc44a1b"
"28","abcb6a"
"29","ninj2"
"30","tmem55ba"
"31","vti1b"
"32","lamtor2"
"33","naga"
"34","zwi"
"35","csrp1a"
"36","mag"
"37","pip4p2"
"38","cd81a"
"39","cd68"
"40","si:dkey-164f24.2"
"41","tmem106b"
"42","cldnk"
"43","ctsba"
"44","slc12a2l"
"45","stxbp6l"
"46","aldh16a1"
"47","cd82a"
"48","si:ch73-61d6.3"
"49","si:dkey-224e22.2"
"50","lamtor1"
"51","lamp1b"
"52","lamtor3"
"53","nfascb"
"54","rhogc"
"55","gnsb"
"56","plp2b"
"57","lamp1a"
"58","mrpl2"
"59","cryz"
"60","zdhhc20a"
"61","ctsf"
"62","cbl"
"63","rragcb"
"64","gjb1a"
"65","tsnare1"
"66","sec14l8"
"67","cst14b.1"
"68","stx8"
"69",NA
"70","spartb"
"71","LOC101886560"
"72","slc35f6"
"73","tmem59l"
"74","anxa13"
"75","snrpa"
"76","mpz"
"77","renbp"
"78","plp1a"
"79","rragca"
"80","cdhr5a"
"81","prkceb"
"82","mrps25"
"83","rap1ab"
"84","gltp"
"85","nfs1"
"86","ptgdsb.2"
"87","snx2"
"88","slc36a1"
"89","scpep1"
"90","snrpd1"
"91","cox4i1l"
"92","acp2"
"93","myo1d"
"94","rabif"
"95","ube2nb"
"96","cers6"
"97","ralab"
"98","gnpda1"
"99","cryl1"
"100","ctsh"
"101","gna13b"
"102","ythdf2"
"103","tspan2a"
"104","rap1b"
"105","epdr1"
"106","siae"
"107","mdkb"
"108","ly75"
"109","si:dkey-90m5.4"
"110","hsbp1b"
"111","rsl1d1"
"112","wdr36"
"113","si:ch211-286b5.5"
"114","gjc2"
"115","si:ch211-215c18.3"
"116","prmt8b"
