PG.ProteinGroups,"[1] 1_2-A,1_1_9293","[2] 3_2-A,2_1_9297","[3] 4_2-A,3_1_9281","[4] 5_2-A,4_1_9305","[5] 6_2-A,5_1_9287","[6] 7_2-A,6_1_9303","[8] 9_2-A,8_1_9288","[9] 10_2-A,9_1_9292","[10] 12_2-A,10_1_9299","[11] 15_2-A,11_1_9280","[12] 16_2-A,12_1_9308","[13] 17_2-B,1_1_9284","[14] 23_2-B,2_1_9289","[15] 25_2-B,3_1_9304","[16] 26_2-B,4_1_9282","[17] 27_2-B,5_1_9296","[18] 28_2-B,6_1_9283","[19] 29_2-B,7_1_9307","[20] 34_2-B,8_1_9309","[21] 42_2-B,9_1_9294","[22] 43_2-B,10_1_9302","[23] 44_2-B,11_1_9300","[24] 46_2-B,12_1_9301","[25] 47_2-C,1_1_9285","[26] 53_2-C,2_1_9310","[27] 56_2-C,3_1_9290","[28] 57_2-C,4_1_9306","[29] 58_2-C,5_1_9291","[30] 61_2-C,6_1_9298","[31] QC01_2-C,7_1_9279","[32] QC02_2-C,8_1_9295","[33] QC03_2-C,9_1_9311"
A0A0E3D804,9.550645828,13.4794426,20.92418671,NaN,11.38787937,9.416193008,8.141768456,NaN,11.55674839,NaN,15.06472588,NaN,5.04597044,7.324256897,11.48487854,NaN,NaN,16.44683075,7.325314999,11.33848953,8.061146736,NaN,NaN,NaN,NaN,NaN,4.684159756,NaN,NaN,NaN,12.48545933,15.38615799
A0A0E4G213,33.66384888,93.43087006,82.24340057,55.36240768,80.62546539,NaN,92.2375412,70.24523163,82.63227081,88.36217499,89.76241302,80.89396667,102.4922562,79.47983551,68.6862793,62.8158226,116.6198196,95.23635101,110.3407822,47.95578384,66.62815094,67.52374268,93.89486694,75.74704742,69.39325714,NaN,65.57867432,125.6973343,NaN,NaN,73.23405457,82.63774872
A0A0F7C9F3,164.5734558,162.7125854,168.5233002,158.1242828,135.0815735,177.7799835,152.6145477,175.6221771,175.9854584,170.3451385,218.6481018,170.0225525,150.7941895,148.4292755,145.8179474,146.9739075,142.9964447,150.2095032,169.4121399,145.9022827,156.1973572,145.4337158,154.2972412,156.8348389,186.6197205,146.2181091,147.511322,149.2397614,142.7568817,157.8570099,150.8774719,162.5195618
A0A0G2KCC7,578.5409546,619.9688721,620.833374,628.3286133,589.6948853,643.1219482,617.0025024,648.8529663,660.2692261,650.6254883,627.8226929,685.7301636,615.1973267,569.2751465,633.5108032,580.2213135,637.0522461,612.250061,586.9827271,627.6856079,634.1593628,626.1895752,541.7207031,589.0200195,636.1263428,644.1940308,628.5473633,598.1626587,646.8945923,642.0488281,563.6688843,605.145813
A0A0G2KCJ6,59.35372543,83.41915894,71.99604034,66.26622772,64.3164978,88.36116028,59.31259155,57.99274445,47.62696075,61.67380905,53.06477356,57.0854187,78.21767426,65.8614502,65.21781921,63.70119095,54.18924332,73.73779297,67.93412781,56.39588547,57.14139557,66.61765289,46.85763931,83.795578,52.03660202,62.55481339,57.02291107,65.54545593,53.66210938,72.71927643,68.38996887,63.94787979
A0A0G2KDN7,149.8746338,142.2147827,190.3381348,172.3881836,188.2928925,142.7716522,159.8931274,156.9632874,140.6920624,146.6389771,127.100708,134.7926178,161.4718628,186.4566193,170.7588043,172.9713287,171.291626,169.5688171,130.4555206,185.7329559,198.6981964,212.4283752,191.4688263,193.5255127,122.777626,123.2331772,153.6207275,166.8868256,141.5016479,164.3402863,165.2492523,154.2213287
A0A0G2KDW7,38.29981995,50.39936829,44.89851379,67.15969086,41.89282227,35.5100441,52.32690811,43.05661392,53.61600876,42.13938141,45.51143646,57.37860489,45.13663483,32.38954926,60.05529785,53.50488281,53.35231018,41.13719177,42.8924675,47.35948181,55.23388672,54.03371811,43.55630493,72.51119232,47.7487793,40.05557251,43.14827347,91.91686249,41.35572815,38.87620926,45.82611084,42.96438599
A0A0G2KH34,23.19503212,37.20589447,23.05875015,25.20323563,NaN,NaN,21.69419098,21.17743301,26.39185143,25.99477959,20.26096535,20.07803154,30.98729324,24.88317108,23.92952347,18.51124382,20.72724152,24.75589371,18.47358894,18.82579994,22.38441467,18.59361458,19.43072891,35.27671051,25.09979439,NaN,26.186203,30.94937706,17.22161484,23.52890778,29.69321632,23.52185059
A0A0G2KHE4,14.75832748,NaN,15.93161392,NaN,NaN,NaN,NaN,13.67087078,NaN,8.720123291,24.18380737,24.59665298,NaN,34.69289398,16.14447212,24.45158005,18.15477943,32.44104004,23.658638,NaN,36.06219482,19.05540848,NaN,NaN,17.31461906,NaN,21.43290138,15.73647308,NaN,26.84249306,33.87949753,NaN
A0A0G2KHZ9,75.55582428,79.91411591,110.1144943,107.9318695,92.63494873,52.45505142,93.87595367,78.29107666,93.58344269,103.725853,79.93325806,85.57361603,88.26502228,74.30844879,106.9525146,74.7600708,62.80952835,107.1969452,91.8276062,93.66934204,80.01486969,63.64810562,100.8148575,94.20095062,90.98920441,92.82556915,93.4509201,100.0456085,84.48814392,100.368309,91.13921356,77.62787628
A0A0G2KKC2,36.88043976,27.01992035,36.00305557,31.54576683,42.05525589,31.47002411,29.51135826,29.75093651,29.27709389,30.93912506,29.60559654,42.41143417,30.21662712,36.03815842,39.23196411,33.07928467,38.04051208,34.98246765,32.8253212,31.12148857,32.5591507,34.23829269,34.3788681,48.55161667,37.29129028,33.80541611,38.41679382,43.88677597,35.1268692,32.84375,38.35095215,36.12088013
A0A0G2KL77,101.0946426,91.0859375,88.06754303,98.76208496,66.57619476,89.35599518,91.37044525,71.58576202,75.25428772,86.81044006,104.6765747,102.814743,88.22563171,70.47774506,100.6744385,77.64076233,107.4336395,109.895401,118.2848511,76.13787842,82.16080475,84.11743927,66.77596283,80.96464539,86.4625473,117.7770386,81.80370331,102.3937912,76.40205383,119.5196457,72.12754059,78.24213409
A0A0G2KLD8,405.1564636,487.2298889,553.9500732,557.0037842,537.7629395,709.994751,360.5936584,370.4678955,564.7890625,567.0067139,537.1009521,368.2988892,426.6955261,670.4719849,545.223938,513.8392334,633.3431396,500.9561768,462.5270386,541.9055786,379.1595154,674.8536987,564.4361572,659.5955811,624.0985718,561.7842407,390.812439,544.6699829,343.0688171,553.4350586,522.2895508,539.1370239
A0A0G2KM96,2484.217285,1869.591919,4095.244873,4151.478027,3719.636719,1979.606567,4500.878906,2010.621826,2662.324463,2013.909546,2615.253906,2141.068848,1897.020508,3360.456299,4160.713867,4396.978516,4052.933838,4296.450195,2559.387695,5722.115234,4772.601563,4658.67334,4708.31543,3520.023438,2391.960693,2397.629639,2625.784424,1956.099243,2620.907471,3040.406738,3297.047363,3467.853516
A0A0G2KPL0,40.40406799,32.94177246,23.92057228,44.31959534,56.99091339,NaN,46.09328079,29.78078461,20.3185463,26.78695869,20.66932487,57.24476242,48.01521301,15.21524525,31.99447632,15.89954948,23.17960548,2.978937387,7.347048759,24.56428528,20.55807495,25.68503761,21.75522423,33.16291809,22.38793755,NaN,17.50662041,NaN,36.82985306,26.60319519,36.97690964,31.77537537
A0A0G2KQC0,48.60113144,33.84421921,38.03656387,51.29756927,43.36635971,23.2676506,33.39487457,42.50387955,32.89399719,45.83872223,24.80967331,25.30409813,36.70643997,32.88466644,31.74101448,32.04999161,30.32786751,42.67730331,32.67983627,26.96417809,35.68505478,32.59993744,30.77239227,28.30602264,29.00415421,19.97330475,20.9778347,42.40718079,24.90065575,35.6150589,26.5975399,30.92490578
A0A0G2KQY6,181.7987671,361.7515564,418.0986938,292.7780457,333.1029968,505.5393066,334.0611877,373.9240112,346.4658813,299.3573303,402.9631958,351.5480957,416.6697693,253.0716553,354.4675903,325.4194946,469.7775269,396.2215881,367.3945618,525.4154053,415.6960144,321.053894,358.0854797,501.0596313,482.9820557,340.8328552,337.7074585,440.8366089,293.4837646,346.4396057,241.0954437,485.5267944
A0A0G2KR69,56.12611008,34.3278389,41.47127151,37.69557571,44.57971191,40.73843002,39.39178467,40.90591049,40.36196518,56.59872818,44.01902008,35.60293961,45.12581253,33.26541901,35.21206284,44.84005737,38.42317963,38.0875206,45.75061035,43.03608322,25.99953461,41.74079132,34.86389542,40.54626083,37.45750809,42.14048004,47.55884171,65.1634903,50.06978989,33.58880234,49.56241226,32.63492203
A0A0G2KSF3,89.61839294,86.14823914,99.15918732,103.7444458,104.2737122,128.0337982,119.6735687,87.46960449,109.110672,91.95059967,97.65364075,96.23429108,129.774826,112.5764771,103.895401,100.2612915,91.86092377,96.09814453,106.8129349,102.5475388,112.4389191,106.2408524,90.17544556,124.6173248,105.3307343,86.39836121,115.0746307,120.5108566,106.3345642,106.9270477,103.3716965,127.9583206
A0A0G2KTI4,581.3237915,609.7389526,695.9720459,716.7017212,634.6605225,669.4806519,605.2971802,663.1298218,575.2860718,628.0332642,562.4783936,663.0358887,636.8861694,651.5325928,705.132019,708.0698853,651.1038818,576.6925659,616.3345947,623.151001,610.6998901,663.3188477,712.9106445,818.0093384,648.8527222,602.5118408,633.701416,681.5161133,612.8980103,675.9356079,628.8422852,660.8239746
A0A0G2KTT4;A0A8M6Z583,147.6117554,168.1608887,154.6156921,158.9177399,140.2980347,194.3590088,158.0342102,157.5624695,164.7240601,141.5674896,142.5184479,164.4863281,188.6085052,133.3836823,170.6638489,149.6791382,150.581543,122.8449097,135.5272369,148.3671722,152.6126556,176.2602234,155.3688812,176.178833,144.9283905,159.2554779,147.0052185,123.1542587,156.4754181,155.71315,142.3504639,150.1592255
A0A0G2KUB6,237.1156769,234.038559,267.9942932,244.7995758,289.9249268,262.9481506,217.1950531,261.8912048,238.8289337,262.9236755,267.148407,246.8150177,240.9076996,247.5666351,203.054306,238.8283691,252.493927,237.1432953,286.6246033,241.8582916,231.6128387,241.9659424,214.3050995,265.4670105,272.1181641,274.8944397,253.3448334,295.0565186,303.5437012,277.7016602,277.62677,243.8214417
A0A0G2KY42,20.36173248,19.06031036,12.01713943,NaN,17.2272377,24.70943069,22.55413055,NaN,NaN,9.867295265,12.38862228,NaN,15.72559929,18.07447433,NaN,22.74746704,10.0346489,17.60943604,16.6946888,6.093659401,12.50994301,NaN,17.70509911,22.94345856,20.57884598,30.06144714,9.937399864,29.60257912,19.96287537,31.80057526,26.0717926,NaN
A0A0G2KYC0,213.0793915,215.4703369,236.1988983,207.6047058,214.4759216,215.5635529,217.9399719,217.7813721,213.0734711,207.3814545,204.4416351,219.6741486,238.6276093,221.1292725,230.7284241,220.0598602,226.3257141,212.2144928,220.5419464,237.1087799,218.8911438,214.4528351,215.6568298,213.903717,211.6229553,219.3644104,215.62117,173.6443024,213.7758942,208.556778,220.0621796,204.6953583
A0A0G2L033,330.1049805,283.4213562,305.2205505,345.6312866,346.6462402,293.6369324,313.0074158,330.6585693,341.2034607,279.018158,314.8744507,307.3690186,334.1947632,338.8925171,298.2145996,315.7346802,301.8763733,343.8896179,311.1651611,337.6894836,322.1699524,315.7657166,309.3389282,371.7619019,301.4291077,307.190033,322.7328491,346.5403748,292.5747986,327.777832,311.3414917,317.5644226
A0A0G2L0J2,13.69593143,17.48497581,18.91685677,12.02950954,20.64730263,17.38806152,17.34961128,22.94739151,12.09919453,22.79557228,17.37586784,20.00100899,10.93106937,21.33383751,14.64124775,19.63617325,24.0677948,27.1618824,23.53209877,12.9914856,27.33504105,21.10069466,23.8457756,NaN,17.88630104,17.62505722,16.71907043,11.21036339,34.85617828,24.49283218,23.38077736,19.94901085
A0A0G2L264,282.6585083,257.7863159,221.1288147,224.2084808,227.3191223,221.9199677,228.0305328,248.7313843,202.1333618,210.9957886,236.2529449,201.6552429,256.5111084,232.6714325,196.2512817,213.1725006,248.2969513,166.8011169,127.4060059,253.3662262,262.7154846,276.5684814,240.0379333,218.4602356,259.1487427,213.8291473,243.8390198,223.34758,241.9719543,213.9156647,250.0368805,265.6784668
A0A0G2L2D6,110.8829193,133.1542969,107.8946381,93.5306778,108.2480545,103.7135925,117.039444,115.4877014,96.51143646,87.17329407,102.1263962,113.1358795,92.93903351,106.2937164,94.21457672,107.6085052,98.46324921,102.618187,97.70729065,111.5914383,94.80206299,102.9172287,108.583313,119.5259628,108.1031418,103.1787872,107.270546,109.0800247,114.8841476,115.3575668,96.4270401,117.0090637
A0A0G2L2I4,208.3556976,169.0462646,172.3437958,173.1150208,NaN,NaN,203.07341,NaN,177.4143829,95.86421204,313.4526367,178.7588959,NaN,NaN,166.8727875,116.2290802,122.8509064,230.8104706,165.3566895,NaN,181.8231049,NaN,NaN,NaN,197.6497498,154.6036987,133.3837891,NaN,NaN,142.9078064,106.2693634,124.1420593
A0A0G2L2I7,49.18073654,63.27243423,51.98336792,57.62570953,62.27859116,47.89941788,56.76586533,51.96620941,45.64775848,55.60323334,52.73044205,45.24215317,57.67031097,62.24298477,48.32876205,60.37747955,60.81334305,45.3420372,48.930233,44.610672,46.65474319,54.72693634,50.21138763,60.24744034,45.13979721,67.00312805,47.82301712,59.72027588,56.72090149,52.1769371,50.02017212,64.03617096
A0A0G2L2Q2,1609.501709,1222.485474,1873.950684,1758.060791,1439.596924,1665.320557,1221.585327,1481.805908,1550.962646,1582.066772,1441.732544,1774.60498,1585.560181,1641.15979,2006.551147,1720.868774,1856.062256,1923.232666,1415.678833,2191.806152,1812.472656,1580.42749,1578.68103,1414.50647,1256.500488,1889.811646,1530.951782,1594.80127,1872.95166,2082.688477,1579.375366,1520.095703
A0A0G2L4S1,13.74915028,20.85021591,34.66856003,21.61545372,16.07625008,25.32554817,36.11064911,16.36997795,33.35402298,22.76715088,35.01190948,27.76551056,37.84768677,40.89856339,16.54884911,25.66089058,16.93572998,25.6330719,33.85951614,25.10975075,33.51902771,34.67860794,21.66729546,23.0900116,23.02655029,12.79062653,31.28154182,NaN,36.05271912,29.93203163,22.44429588,42.54092789
A0A0G2L4S8;A0A140LH64;A0A8M9QCF5;A8WG08;A8WG86;E7F8T3;Q5CZR5,296.969574,214.5772095,NaN,NaN,283.9361267,224.9435883,NaN,251.9003143,304.84021,304.4164429,240.539444,148.7302399,NaN,186.4437561,198.6750946,172.194519,303.317688,260.611084,339.6014099,258.906311,221.6809845,264.7186279,NaN,326.1823425,237.3391113,239.1027374,305.5400085,445.5904236,303.6126099,224.7386169,252.2866669,221.8280334
A0A0G2L6W9,135.325882,131.9390717,139.1412964,99.25115204,133.7477417,149.4137115,124.8773041,145.1728363,172.1738892,148.5010071,123.9469376,142.0737152,148.2259827,139.8039093,101.8140793,144.4470215,112.9571533,116.370491,134.1858215,108.0136948,127.904686,94.54449463,115.7766495,152.5203094,143.5592194,93.17514038,105.1126099,135.787323,143.0151367,170.1567993,105.5259705,164.0005493
A0A0G2L866,743.763855,665.3452759,656.3214722,696.7961426,675.5275269,666.7761841,718.6641235,652.6872559,679.624939,676.7946777,580.0254517,645.5679321,691.6360474,692.5872803,666.3259277,682.7121582,706.8330078,588.3915405,600.5588989,684.9240723,733.2841187,642.2888794,697.8457031,685.6121216,668.4733887,635.7663574,605.7463989,655.251709,658.1185913,632.144165,640.8239746,665.7905273
A0A0G2L877,116.1091537,126.5699539,145.3372803,275.8156128,193.0621033,237.6853027,109.8516235,38.14143372,143.3365784,100.9291916,84.98378754,127.071846,161.3470612,127.0041504,159.0327606,130.6071167,147.3927155,335.6089172,206.6689758,97.47120667,121.0280151,119.8868332,34.93529892,160.9438477,114.5741196,259.5531616,107.7222061,184.4824982,131.953598,107.9515457,114.2694855,230.8971558
A0A0G2LAL1;A0A8M6Z782;A0A8M9P887;A0A8M9PJ78;A0A8M9PRH9;A0A8M9PU19;A0A8M9PU23,41.30915833,31.30363274,35.39794159,NaN,18.48375702,33.27799606,22.66869354,31.47243118,37.15240479,21.15351868,19.53291512,14.67092228,NaN,24.93768692,22.92253876,30.07562637,NaN,17.1102314,25.98187065,27.83776474,NaN,22.73453903,29.30633354,NaN,39.95104218,26.93465614,20.18315887,NaN,NaN,18.17421913,NaN,29.35876846
A0A0G2LAU9,2599.158447,2868.445557,2648.607422,2636.273193,2820.014893,2734.570557,2506.049805,2635.449463,2611.921143,2696.029541,2435.605957,2657.981689,2801.782471,2801.919189,2568.661621,2668.310547,2653.589355,2366.301514,2554.265381,2537.068359,2550.166016,2673.553467,2722.357178,2643.904297,2517.282471,2501.966309,2528.986816,2722.175781,2706.51709,2699.868896,2603.622559,2786.720703
A0A0G2UMG0,225.4745789,196.4194031,206.0929718,202.6694946,210.2099915,187.960495,174.7385254,186.7980499,194.4256744,201.979599,161.3742523,168.0845947,215.0467987,188.838974,173.4437103,180.5889282,179.9431305,198.4582367,179.297226,206.4459991,183.1855927,175.1112823,189.2036896,183.5391083,181.4937897,185.8031921,181.0605469,223.0407104,182.603775,206.7187042,190.721344,180.5222931
A0A0G3Y3D1,70.31137085,48.50494003,67.43538666,68.28710175,52.38056946,NaN,92.04930115,61.03939056,64.55368042,67.67256165,57.87111282,NaN,72.79424286,82.34185791,64.20178986,70.15208435,50.34952164,56.30232239,66.58307648,76.83451843,68.90683746,80.7621994,62.39881897,115.31884,75.7525177,71.27429962,74.82309723,89.18383789,75.87697601,74.23847961,54.54152298,63.8229866
A0A0H2UKU4,280.9421082,229.0389099,268.4042969,295.7332153,260.0487366,276.3909302,254.0645752,270.7384033,256.6880188,266.352356,243.0654297,263.6637573,272.0282593,260.1681213,269.8653564,272.4900818,242.7038879,300.7687683,272.9574585,244.630188,234.5861664,252.7654877,250.6711121,267.3368225,259.4035034,274.8138123,250.6519012,316.489563,265.01474,252.1153259,252.0074615,253.1912537
A0A0H2UKW6,635.6391602,655.4073486,630.5998535,632.7136841,606.1656494,625.7319946,597.131897,621.5059814,650.7628174,643.3439331,637.6671143,653.6269531,627.4052734,595.9744263,648.9561157,588.4660034,597.8884277,606.1120605,603.4706421,607.0453491,624.8879395,621.2937012,625.2871094,694.3393555,650.5679321,655.1786499,624.9413452,685.9174194,646.4851685,591.4712524,614.836853,620.2631836
A0A0J9YJ98,20.91823006,12.00200176,26.44765091,16.46846008,23.15809059,11.13907242,19.28235054,9.646437645,13.62255764,22.33026123,10.50394917,11.51905918,36.55601883,22.92684937,14.47936153,23.7522049,22.33692169,15.52487183,8.28008461,22.17782402,27.10022926,19.90791702,23.71248627,18.94072914,20.90013695,10.46368408,23.96613121,29.05456543,29.98108864,19.47380447,16.0518589,NaN
A0A0M3HEL3,50.87362671,68.27218628,71.46442413,74.40273285,85.76602173,96.97251129,65.64598846,42.60696793,44.64966965,64.87093353,59.29071808,53.05168915,86.77380371,64.67155457,60.83411789,57.6158638,41.32165146,58.61595154,56.72740173,NaN,57.12940598,60.31581497,70.86511993,99.78505707,78.17792511,74.66212463,51.65114594,54.83935928,61.46011353,64.00730133,57.09873962,NaN
A0A0N4SUG9,42.79062653,38.53485489,41.58964157,NaN,21.55425072,28.25367928,25.87937927,46.42166138,36.48719025,38.76713181,45.90007782,28.97856522,33.49563217,30.11426926,31.69807243,28.572052,24.79210854,26.09174728,33.61330032,26.32211876,27.14183807,40.84152222,27.73503113,52.56729126,43.70504379,33.08398438,39.06868744,24.32789993,25.17850876,47.27978897,41.29809952,51.72624207
A0A0P0CP42,143.0887909,134.3075409,154.294342,158.3584595,141.1338654,162.4461975,148.9875946,142.770813,163.5995178,140.7242279,144.4685974,150.3925476,143.8709412,126.9013367,125.3919449,145.6764069,145.0513916,144.8463135,132.436203,139.7511749,148.3514862,144.514389,134.1152344,156.9120941,144.4578705,156.1012573,130.8280029,161.6520386,153.9252777,138.8456421,154.9335785,165.4248047
A0A0R4I9D6,214.1595001,225.8961029,214.2122192,218.1437378,206.2898865,242.7773132,229.0066071,225.8991547,231.532608,227.9228058,229.511261,247.8301544,219.9611511,202.2181396,217.1735992,206.6831055,197.6491547,194.5274811,205.4360504,209.7734375,211.1137695,198.6273499,199.4718933,247.3423615,241.6980286,240.4707184,226.7771912,286.7848511,223.3948212,232.7264099,200.1723022,230.1509552
A0A0R4I9G1,75.94869995,35.1357193,36.3427887,39.95751572,29.48682213,36.25401688,34.41667938,46.58964539,44.8105545,37.48983765,34.31015015,53.54837799,47.25904083,39.92649841,51.65474701,37.49011612,26.03417778,40.44564438,39.35570908,39.74139786,42.40624237,33.34201431,26.90102386,45.13382339,41.00460815,42.68833923,37.84659958,53.20806885,45.78824234,46.06276321,39.67050171,50.29338837
A0A0R4I9I2,476.1417542,447.6693115,402.3367004,429.9222717,451.0576782,433.9613953,449.0205688,484.5732117,451.7709351,413.8588257,473.3573303,423.4968872,438.3077698,419.3503418,396.1138611,442.2454224,413.7891235,395.9277649,417.6706238,405.5993042,395.2780457,442.2619629,439.4534607,446.6264648,460.2207947,502.167511,443.8081665,481.0024109,461.4059753,458.5025635,461.2174988,450.4309692
A0A0R4I9N0,720.531311,636.414917,599.7224121,642.5681152,627.4063721,617.8135376,658.1478271,589.8718262,580.6696777,583.2363892,611.0922241,618.5563965,618.5498047,611.2911377,622.7421875,614.5728149,680.8309326,571.9733887,618.8745728,678.6715698,607.0202637,623.9884644,628.3347778,612.776001,605.4740601,646.7703857,591.8358765,646.3574829,624.1980591,624.6347656,623.7393799,694.15625
A0A0R4I9Q9,77.68221283,81.61856079,NaN,NaN,NaN,198.2323303,54.44718933,68.30044556,NaN,68.55036163,103.328125,50.62832642,NaN,39.86547089,NaN,66.76905823,36.37537384,57.24597168,28.68387604,48.53872299,NaN,NaN,NaN,47.21223831,45.62813187,34.40162277,41.6839447,NaN,NaN,NaN,NaN,NaN
A0A0R4I9S5,212.0809937,185.7347717,197.0611877,225.4091492,194.7982025,231.6437836,203.4455109,186.526825,210.9997864,208.5619507,196.2207642,191.1631317,200.2763214,177.8521576,215.9200897,214.103775,189.4838562,185.3832397,174.0842896,186.6756439,187.4124756,178.7019348,174.6316071,205.1017609,174.1006775,226.5919952,179.8044586,240.0622253,178.3136444,195.0325012,199.8633423,188.7144928
A0A0R4I9V4,1011.654907,1125.4198,1051.557251,1010.860229,1034.731079,1126.635742,912.5548096,677.2654419,949.513916,1025.665527,922.5588989,1049.533325,976.0512695,874.9910278,1060.41394,777.8113403,834.2556763,500.4239197,742.8482666,929.8245239,877.0201416,740.2208862,754.9625854,990.7324829,1326.218628,764.3987427,996.5441895,870.5814819,814.194519,1153.36438,899.911377,834.8464966
