PG.ProteinGroups,"[1] 1_2-A,1_1_9293","[2] 3_2-A,2_1_9297","[3] 4_2-A,3_1_9281","[4] 5_2-A,4_1_9305","[5] 6_2-A,5_1_9287","[6] 7_2-A,6_1_9303","[8] 9_2-A,8_1_9288","[9] 10_2-A,9_1_9292","[10] 12_2-A,10_1_9299","[11] 15_2-A,11_1_9280","[12] 16_2-A,12_1_9308","[13] 17_2-B,1_1_9284","[14] 23_2-B,2_1_9289","[15] 25_2-B,3_1_9304","[16] 26_2-B,4_1_9282","[17] 27_2-B,5_1_9296","[18] 28_2-B,6_1_9283","[19] 29_2-B,7_1_9307","[20] 34_2-B,8_1_9309","[21] 42_2-B,9_1_9294","[22] 43_2-B,10_1_9302","[23] 44_2-B,11_1_9300","[24] 46_2-B,12_1_9301","[25] 47_2-C,1_1_9285","[26] 53_2-C,2_1_9310","[27] 56_2-C,3_1_9290","[28] 57_2-C,4_1_9306","[29] 58_2-C,5_1_9291","[30] 61_2-C,6_1_9298","[31] QC01_2-C,7_1_9279","[32] QC02_2-C,8_1_9295","[33] QC03_2-C,9_1_9311"
,MPS IIIB,EOfAD-like,EOfAD-like,wt,wt,wt,MPS IIIB,EOfAD-like,MPS IIIB,wt,wt,EOfAD-like,EOfAD-like,EOfAD-like,MPS IIIB,EOfAD-like,wt,wt,EOfAD-like,MPS IIIB,MPS IIIB,EOfAD-like,MPS IIIB,EOfAD-like,MPS IIIB,MPS IIIB,MPS IIIB,EOfAD-like,MPS IIIB,QC,QC,QC
A0A068F5P3,53.41799927,41.98786926,35.04919815,36.50048065,29.06715965,50.2943573,29.74757957,39.23966217,38.99388504,34.73217392,37.95536423,48.2927475,28.29691124,29.93980598,35.09403229,41.67101288,42.23698425,26.75719261,33.02761078,31.60031891,36.79701614,33.16217804,35.49777603,28.53777885,31.53604698,25.28733444,35.04492569,43.17143631,34.69838333,37.27604294,36.32596207,38.32242584
A0A068F9P7,112.5294113,109.1389389,127.3661423,151.3734741,137.8382721,135.0706024,117.8819275,125.6903229,111.4815216,117.318512,106.9580994,118.7286148,116.5440521,134.2481079,122.0895309,119.4584808,129.3261261,113.3171539,113.2595444,121.28302,118.358902,121.7522354,114.001976,124.3338776,114.0246735,95.7636795,114.110939,110.156868,110.9124908,119.7741013,117.9313431,106.7720718
A0A096X8J7,70.11203003,79.741745,84.51963043,92.94335938,66.09114838,104.6675491,94.81534576,95.40075684,73.1104126,108.7789764,92.32840729,104.9664688,82.91703796,88.4516983,86.21885681,91.17783356,89.20764923,72.28499603,72.54244232,91.82410431,80.61377716,75.64661407,84.88301086,88.45080566,97.52852631,77.57128143,97.85733032,107.8539352,103.1792831,99.44997406,72.89901733,116.1393661
A0A097,804.3914795,954.0315552,941.9768677,1060.955322,932.0373535,1109.838623,854.9714966,917.3374634,1026.067749,1096.303223,934.4991455,1081.140015,1024.102051,943.9128418,885.2387085,955.4632568,954.1723022,688.128418,858.9356079,1030.588989,838.2120972,809.2972412,854.5340576,950.0161133,937.1832275,972.9871216,999.005188,1123.738403,973.3035278,1054.26062,968.2116089,1044.063843
A0A0A0MPL4,50.67286682,43.4865036,30.44706726,32.41059494,35.92407608,24.93438148,61.03964615,53.18119431,45.88489151,41.72531128,52.14583588,38.54854965,42.81254196,33.82071304,55.03903961,35.60697556,39.85502243,46.53008652,45.85054398,40.95526886,59.53496552,38.81139755,46.22830963,41.12383652,42.97531891,42.95360565,50.29531097,28.29168701,41.50812531,48.32761002,37.44182587,35.40882874
A0A0A0MPL5,8727.615234,9088.268555,8339.336914,9097.168945,8508.702148,9288.478516,9525.682617,9047.664063,8460.535156,9669.449219,9469.029297,8550.554688,9731.001953,8864.671875,9177.116211,8575.119141,9084.115234,8311.874023,8567.671875,9503.115234,9380.068359,8861.051758,9365.774414,8773.539063,9075.774414,9244.969727,9063.693359,7009.736328,8805.577148,8927.607422,9135.161133,8807.80957
A0A0A7H8E2,34.84290314,27.54990196,36.19969177,50.78460312,38.35248184,18.53889656,33.36325836,35.390728,38.97018051,37.67258835,36.39743423,41.751194,38.03474808,37.1039772,30.60497856,35.34851837,43.31374741,32.08444977,39.21977997,30.66369629,32.00059128,36.73888779,23.40082932,46.03116608,37.62783432,40.78065872,31.399786,61.74182129,33.84971237,33.43279266,30.02595329,50.9317894
A0A0B4J1A5,1711.264282,1612.676392,1542.743774,1283.637329,1389.421143,1704.217407,1542.840942,1583.101929,1669.491577,1838.891968,1427.318115,1627.636353,1636.324219,1480.193237,1393.39502,1233.236206,1534.428223,1527.904541,1617.39563,1187.045166,1610.628906,1520.896118,1633.179077,1563.128784,1768.02478,1706.486816,1513.307739,1560.862305,1666.278442,1328.93396,1463.432495,1530.992188
A0A0B4J1A8,NaN,14.0604229,NaN,NaN,NaN,45.65761185,14.15202713,11.56903076,11.21407986,10.69394112,18.41121292,30.91355133,NaN,14.77879238,2.832329273,15.33418941,16.870327,18.73874855,13.51776791,14.78238106,16.91612816,13.64860153,17.00251961,18.05234337,NaN,25.66538048,16.76801491,NaN,26.94086456,15.69452477,10.29449081,19.53938293
A0A0B4J1B0,175.6921692,151.5047302,138.167984,159.2224274,143.2991791,158.647644,160.2042084,163.5317078,130.2978973,126.7731781,135.897522,154.2747955,155.5504608,128.578125,122.376297,129.6242065,120.8814621,117.5837173,124.5963593,129.5300751,129.9008636,125.2519379,151.288269,136.9249268,151.0697937,145.4824982,136.7151184,185.759613,145.7789764,155.7718658,130.9097443,132.2831726
