,f.value,p.value,-LOG10(p),FDR,Fisher's LSD
Q4V902,391.38,5.93E-23,22.227,5.90E-19,MPS IIIB - EOfAD-like; QC - EOfAD-like; MPS IIIB - QC; MPS IIIB - wt; QC - wt
Q7ZU43,351.68,2.55E-22,21.593,1.27E-18,MPS IIIB - EOfAD-like; QC - EOfAD-like; MPS IIIB - QC; MPS IIIB - wt; QC - wt
A0A8M1N4V1,243.29,3.76E-20,19.425,9.44E-17,EOfAD-like - MPS IIIB; EOfAD-like - QC; QC - MPS IIIB; wt - MPS IIIB; wt - QC
B8XY56,243.13,3.79E-20,19.421,9.44E-17,MPS IIIB - EOfAD-like; QC - EOfAD-like; MPS IIIB - QC; MPS IIIB - wt; QC - wt
A0A8M3B2G3,215.75,1.89E-19,18.724,3.76E-16,MPS IIIB - EOfAD-like; QC - EOfAD-like; MPS IIIB - QC; MPS IIIB - wt; QC - wt
A0A8M9PU63,162.31,8.34E-18,17.079,1.38E-14,MPS IIIB - EOfAD-like; QC - EOfAD-like; MPS IIIB - QC; MPS IIIB - wt; QC - wt
A0A8M1RDC6,158.06,1.18E-17,16.927,1.68E-14,MPS IIIB - EOfAD-like; QC - EOfAD-like; MPS IIIB - QC; MPS IIIB - wt; QC - wt
A0A8M3AXU8,141.18,5.23E-17,16.282,6.51E-14,EOfAD-like - MPS IIIB; EOfAD-like - QC; QC - MPS IIIB; wt - MPS IIIB; wt - QC
A0A8M2BCJ2,124.73,2.63E-16,15.579,2.91E-13,MPS IIIB - EOfAD-like; QC - EOfAD-like; MPS IIIB - QC; MPS IIIB - wt; QC - wt
Q8AWD9,120.6,4.07E-16,15.39,4.06E-13,MPS IIIB - EOfAD-like; QC - EOfAD-like; EOfAD-like - wt; MPS IIIB - QC; MPS IIIB - wt; QC - wt
F1Q7G9,115.26,7.32E-16,15.135,6.62E-13,EOfAD-like - MPS IIIB; EOfAD-like - QC; QC - MPS IIIB; wt - MPS IIIB; wt - QC
Q1LWP9,108.51,1.59E-15,14.797,1.22E-12,MPS IIIB - EOfAD-like; QC - EOfAD-like; EOfAD-like - wt; MPS IIIB - QC; MPS IIIB - wt; QC - wt
A0A0R4IJL2,108.49,1.60E-15,14.797,1.22E-12,MPS IIIB - EOfAD-like; QC - EOfAD-like; wt - EOfAD-like; MPS IIIB - QC; MPS IIIB - wt; QC - wt
B0JZP5,76.635,1.30E-13,12.887,9.23E-11,MPS IIIB - EOfAD-like; QC - EOfAD-like; wt - EOfAD-like; MPS IIIB - QC; MPS IIIB - wt; QC - wt
A0A2R8Q0I4,75.121,1.66E-13,12.779,1.10E-10,MPS IIIB - EOfAD-like; QC - EOfAD-like; MPS IIIB - QC; MPS IIIB - wt; QC - wt
P58781,73.874,2.05E-13,12.689,1.27E-10,MPS IIIB - EOfAD-like; QC - EOfAD-like; MPS IIIB - QC; MPS IIIB - wt; QC - wt
A1L2A2,72.711,2.49E-13,12.604,1.46E-10,EOfAD-like - MPS IIIB; EOfAD-like - QC; QC - MPS IIIB; wt - MPS IIIB; wt - QC
F1QGS9,67.211,6.55E-13,12.184,3.62E-10,MPS IIIB - EOfAD-like; QC - EOfAD-like; MPS IIIB - QC; MPS IIIB - wt; QC - wt
A0A8M1QKN6,62.629,1.55E-12,11.81,8.11E-10,EOfAD-like - MPS IIIB; EOfAD-like - QC; EOfAD-like - wt; QC - MPS IIIB; wt - MPS IIIB
Q32PR0,57.896,3.99E-12,11.399,1.99E-09,MPS IIIB - EOfAD-like; QC - EOfAD-like; MPS IIIB - QC; MPS IIIB - wt; QC - wt
Q6PGT7,52.74,1.21E-11,10.916,5.75E-09,MPS IIIB - EOfAD-like; QC - EOfAD-like; wt - EOfAD-like; MPS IIIB - QC; MPS IIIB - wt; QC - wt
Q6P299,47.63,4.01E-11,10.397,1.81E-08,MPS IIIB - EOfAD-like; QC - EOfAD-like; MPS IIIB - QC; MPS IIIB - wt; QC - wt
Q6DEG4,45.805,6.31E-11,10.2,2.73E-08,MPS IIIB - EOfAD-like; QC - EOfAD-like; MPS IIIB - QC; MPS IIIB - wt; QC - wt
F1QCK2,45.364,7.05E-11,10.152,2.92E-08,MPS IIIB - EOfAD-like; QC - EOfAD-like; MPS IIIB - QC; MPS IIIB - wt; QC - wt
A0A8M9QGI9,44.593,8.59E-11,10.066,3.42E-08,EOfAD-like - MPS IIIB; EOfAD-like - QC; QC - MPS IIIB; wt - MPS IIIB; wt - QC
A5PN39,42.682,1.42E-10,9.8482,5.43E-08,MPS IIIB - EOfAD-like; QC - EOfAD-like; MPS IIIB - QC; MPS IIIB - wt; QC - wt
Q6NYJ7,40.937,2.28E-10,9.6423,8.40E-08,MPS IIIB - EOfAD-like; QC - EOfAD-like; MPS IIIB - QC; MPS IIIB - wt; QC - wt
A0A2R8QDV2,38.907,4.04E-10,9.3936,1.44E-07,MPS IIIB - EOfAD-like; QC - EOfAD-like; MPS IIIB - QC; MPS IIIB - wt; QC - wt
F1RE14,38.644,4.36E-10,9.3606,1.50E-07,MPS IIIB - EOfAD-like; QC - EOfAD-like; MPS IIIB - QC; MPS IIIB - wt; QC - wt
E7FE82,36.876,7.34E-10,9.1342,2.44E-07,EOfAD-like - MPS IIIB; wt - EOfAD-like; QC - MPS IIIB; wt - MPS IIIB
Q7SY45,36.515,8.19E-10,9.087,2.63E-07,MPS IIIB - EOfAD-like; QC - EOfAD-like; MPS IIIB - QC; MPS IIIB - wt; QC - wt
Q5CZT1,36.282,8.79E-10,9.0561,2.73E-07,MPS IIIB - EOfAD-like; MPS IIIB - QC; MPS IIIB - wt
A0A8M1Q2D0,35.783,1.02E-09,8.9898,3.09E-07,EOfAD-like - MPS IIIB; QC - MPS IIIB; wt - MPS IIIB
E7EYW5,34.865,1.36E-09,8.8659,3.99E-07,MPS IIIB - EOfAD-like; QC - EOfAD-like; MPS IIIB - QC; MPS IIIB - wt; QC - wt
Q1LWC3,34.564,1.50E-09,8.8248,4.26E-07,MPS IIIB - EOfAD-like; QC - EOfAD-like; EOfAD-like - wt; MPS IIIB - QC; MPS IIIB - wt; QC - wt
F1QSA4,33.131,2.37E-09,8.6248,6.56E-07,EOfAD-like - MPS IIIB; EOfAD-like - QC; QC - MPS IIIB; wt - MPS IIIB; wt - QC
Q1LWC2,32.633,2.79E-09,8.5538,7.52E-07,MPS IIIB - EOfAD-like; QC - EOfAD-like; MPS IIIB - QC; MPS IIIB - wt; QC - wt
Q503S6,29.898,7.11E-09,8.148,1.86E-06,MPS IIIB - EOfAD-like; QC - EOfAD-like; MPS IIIB - QC; MPS IIIB - wt; QC - wt
A0A2R8QGA4,29.568,8.00E-09,8.0972,2.04E-06,MPS IIIB - EOfAD-like; QC - EOfAD-like; wt - EOfAD-like; MPS IIIB - QC; MPS IIIB - wt
A0A0R4IK07,29.441,8.37E-09,8.0775,2.08E-06,MPS IIIB - EOfAD-like; QC - EOfAD-like; MPS IIIB - wt; QC - wt
F1QGP1,28.689,1.10E-08,7.9597,2.66E-06,MPS IIIB - EOfAD-like; QC - EOfAD-like; MPS IIIB - QC; MPS IIIB - wt
