,f.value,p.value,-LOG10(p),FDR,Fisher's LSD
Q6PE18,28.521,1.17E-08,7.933,2.74E-06,MPS IIIB - EOfAD-like; MPS IIIB - QC; MPS IIIB - wt
Q503H8,28.48,1.18E-08,7.9265,2.74E-06,EOfAD-like - MPS IIIB; EOfAD-like - wt; QC - MPS IIIB; wt - MPS IIIB
A0A8M1RPE8,28.1,1.36E-08,7.8658,3.08E-06,EOfAD-like - MPS IIIB; QC - MPS IIIB; wt - MPS IIIB; wt - QC
F1Q6P4,27.789,1.53E-08,7.8156,3.38E-06,EOfAD-like - MPS IIIB; QC - MPS IIIB; wt - MPS IIIB
Q6NY42,27.684,1.59E-08,7.7986,3.43E-06,MPS IIIB - EOfAD-like; MPS IIIB - QC; MPS IIIB - wt; QC - wt
Q7T361,27.633,1.62E-08,7.7902,3.43E-06,MPS IIIB - EOfAD-like; QC - EOfAD-like; MPS IIIB - QC; MPS IIIB - wt; QC - wt
Q6NWF2,26.84,2.19E-08,7.66,4.54E-06,MPS IIIB - EOfAD-like; QC - EOfAD-like; wt - EOfAD-like; MPS IIIB - QC; MPS IIIB - wt
Q32LT0,26.362,2.63E-08,7.5799,5.34E-06,MPS IIIB - EOfAD-like; MPS IIIB - QC; MPS IIIB - wt; QC - wt
Q6DBT9,25.935,3.11E-08,7.5076,6.19E-06,EOfAD-like - MPS IIIB; QC - MPS IIIB; wt - MPS IIIB
A0A0R4IMG2,25.757,3.33E-08,7.4772,6.50E-06,MPS IIIB - EOfAD-like; QC - EOfAD-like; MPS IIIB - QC; MPS IIIB - wt; QC - wt
B0S6K7,25.66,3.46E-08,7.4605,6.55E-06,MPS IIIB - EOfAD-like; QC - EOfAD-like; MPS IIIB - QC; MPS IIIB - wt
Q6NZV4,25.642,3.49E-08,7.4574,6.55E-06,EOfAD-like - MPS IIIB; QC - MPS IIIB; wt - MPS IIIB; wt - QC
B9UZF4,25.5,3.69E-08,7.4331,6.80E-06,EOfAD-like - MPS IIIB; QC - MPS IIIB; wt - MPS IIIB
Q9DDG2,24.588,5.33E-08,7.2736,9.64E-06,EOfAD-like - MPS IIIB; EOfAD-like - QC; QC - MPS IIIB; wt - MPS IIIB
Q5CZS6,23.891,7.10E-08,7.149,1.26E-05,EOfAD-like - MPS IIIB; QC - MPS IIIB; wt - MPS IIIB
Q9DGJ3,23.727,7.60E-08,7.1193,1.31E-05,MPS IIIB - EOfAD-like; MPS IIIB - QC; MPS IIIB - wt; QC - wt
Q6P0U0,23.716,7.63E-08,7.1173,1.31E-05,MPS IIIB - EOfAD-like; MPS IIIB - QC; MPS IIIB - wt
A0A8M3AS61,23.656,7.83E-08,7.1065,1.32E-05,EOfAD-like - MPS IIIB; QC - MPS IIIB; wt - MPS IIIB
Q8UUT6,22.751,1.15E-07,6.9396,1.91E-05,EOfAD-like - MPS IIIB; QC - MPS IIIB; wt - MPS IIIB
A0A8M1PUX9,22.673,1.19E-07,6.925,1.94E-05,EOfAD-like - MPS IIIB; EOfAD-like - QC; QC - MPS IIIB; wt - MPS IIIB; wt - QC
Q7SXT5,22.6,1.23E-07,6.9112,1.97E-05,MPS IIIB - EOfAD-like; QC - EOfAD-like; MPS IIIB - QC; MPS IIIB - wt
A4FVJ5,21.964,1.62E-07,6.7906,2.56E-05,EOfAD-like - MPS IIIB; EOfAD-like - QC; QC - MPS IIIB; wt - MPS IIIB; wt - QC
A0A286Y8V3,21.004,2.49E-07,6.6037,3.82E-05,EOfAD-like - MPS IIIB; EOfAD-like - QC; EOfAD-like - wt; QC - MPS IIIB; wt - MPS IIIB
Q0V973,21,2.49E-07,6.603,3.82E-05,MPS IIIB - EOfAD-like; QC - EOfAD-like; MPS IIIB - QC; MPS IIIB - wt
A0A8M9PH32,20.837,2.69E-07,6.5708,4.04E-05,EOfAD-like - MPS IIIB; QC - MPS IIIB; wt - MPS IIIB
E9QCP4,20.812,2.72E-07,6.5658,4.04E-05,MPS IIIB - EOfAD-like; MPS IIIB - QC; MPS IIIB - wt
F1Q7H8,19.631,4.71E-07,6.3265,6.90E-05,EOfAD-like - MPS IIIB; QC - MPS IIIB; wt - MPS IIIB
A0A4P8NJ80,19.446,5.15E-07,6.2881,7.43E-05,EOfAD-like - MPS IIIB; EOfAD-like - QC; QC - MPS IIIB; wt - MPS IIIB
E7FBZ6,18.667,7.52E-07,6.1238,0.00010692,MPS IIIB - EOfAD-like; MPS IIIB - QC; MPS IIIB - wt
A0A8M2BCB3,18.401,8.58E-07,6.0667,0.00012025,EOfAD-like - MPS IIIB; QC - MPS IIIB; wt - MPS IIIB
E7FGR0,18.32,8.93E-07,6.0493,0.0001234,EOfAD-like - MPS IIIB; EOfAD-like - QC; wt - MPS IIIB; wt - QC
Q6TEN1,17.97,1.06E-06,5.973,0.0001451,EOfAD-like - MPS IIIB; QC - MPS IIIB; wt - MPS IIIB
F1Q5G5,17.882,1.11E-06,5.9538,0.0001496,MPS IIIB - EOfAD-like; QC - EOfAD-like; MPS IIIB - QC; MPS IIIB - wt
A5PMY6,17.818,1.15E-06,5.9398,0.00015246,EOfAD-like - QC; EOfAD-like - wt; MPS IIIB - QC; MPS IIIB - wt
Q6W2N6,17.579,1.30E-06,5.8869,0.00016775,EOfAD-like - MPS IIIB; wt - EOfAD-like; QC - MPS IIIB; wt - MPS IIIB; wt - QC
Q6PHG3,17.579,1.30E-06,5.8869,0.00016775,EOfAD-like - MPS IIIB; QC - MPS IIIB; wt - MPS IIIB
A0PJT0,17.476,1.37E-06,5.864,0.00017456,EOfAD-like - MPS IIIB; QC - MPS IIIB; wt - MPS IIIB
E7FA90,17.254,1.53E-06,5.8142,0.00019326,MPS IIIB - EOfAD-like; MPS IIIB - QC; MPS IIIB - wt
E7F8P4,17.188,1.59E-06,5.7994,0.00019748,EOfAD-like - MPS IIIB; QC - MPS IIIB; wt - MPS IIIB
A2BIR0,17.064,1.69E-06,5.7715,0.00020799,EOfAD-like - MPS IIIB; EOfAD-like - QC; wt - MPS IIIB; wt - QC
Q6PH75,16.772,1.97E-06,5.7051,0.00023936,MPS IIIB - EOfAD-like; QC - EOfAD-like; MPS IIIB - wt; QC - wt
A0A2R8QN30,16.118,2.80E-06,5.5535,0.00033526,EOfAD-like - MPS IIIB; QC - MPS IIIB; wt - MPS IIIB
Q4V916,16.04,2.92E-06,5.5353,0.00034545,EOfAD-like - MPS IIIB; QC - MPS IIIB; wt - MPS IIIB
Q6DGU7,15.681,3.55E-06,5.4502,0.00041531,MPS IIIB - EOfAD-like; QC - EOfAD-like; MPS IIIB - wt
A0A0R4IZL6,15.277,4.43E-06,5.3533,0.00051311,MPS IIIB - EOfAD-like; MPS IIIB - QC; MPS IIIB - wt
A2RV19,15.188,4.66E-06,5.3316,0.00053318,MPS IIIB - EOfAD-like; MPS IIIB - QC; MPS IIIB - wt
A0A8M1P933,14.785,5.85E-06,5.2329,0.00066167,MPS IIIB - EOfAD-like; MPS IIIB - QC; MPS IIIB - wt
A0A8M9QKZ1,14.61,6.47E-06,5.1894,0.0007231,EOfAD-like - MPS IIIB; EOfAD-like - QC; EOfAD-like - wt; wt - MPS IIIB
E7F798,14.519,6.81E-06,5.1668,0.00075326,MPS IIIB - EOfAD-like; MPS IIIB - wt; QC - wt
F1R6I1,14.491,6.92E-06,5.1599,0.0007569,EOfAD-like - MPS IIIB; QC - MPS IIIB; wt - MPS IIIB
Q0P3W0,14.332,7.59E-06,5.1199,0.00082092,EOfAD-like - MPS IIIB; EOfAD-like - QC; wt - MPS IIIB; wt - QC
A0A2R8Q9G7,14.28,7.82E-06,5.1068,0.0008369,EOfAD-like - MPS IIIB; QC - MPS IIIB; wt - MPS IIIB; wt - QC
A0A8M2B5Y7,14.207,8.16E-06,5.0883,0.00086411,MPS IIIB - EOfAD-like; MPS IIIB - QC; MPS IIIB - wt
Q7SY23,13.947,9.50E-06,5.0222,0.00099552,MPS IIIB - EOfAD-like; QC - EOfAD-like; MPS IIIB - wt
E7F9L8,13.755,1.06E-05,4.973,0.0011033,EOfAD-like - MPS IIIB; QC - MPS IIIB; wt - MPS IIIB
Q3B738,13.596,1.17E-05,4.9319,0.0012003,MPS IIIB - EOfAD-like; QC - EOfAD-like; MPS IIIB - wt; QC - wt
Q6NV24,13.036,1.64E-05,4.7849,0.0016666,EOfAD-like - MPS IIIB; QC - MPS IIIB; wt - MPS IIIB
A0A8M2B3W0,12.912,1.77E-05,4.752,0.0017798,EOfAD-like - MPS IIIB; EOfAD-like - wt; QC - MPS IIIB; wt - MPS IIIB
A0A8M2BJD0,12.761,1.94E-05,4.7115,0.0019343,EOfAD-like - MPS IIIB; QC - MPS IIIB; wt - MPS IIIB
A0A8M9PCZ4,12.739,1.97E-05,4.7055,0.0019417,EOfAD-like - MPS IIIB; QC - MPS IIIB; wt - MPS IIIB
Q6NYR8,12.714,2.00E-05,4.6989,0.0019521,MPS IIIB - EOfAD-like; QC - EOfAD-like; MPS IIIB - wt; QC - wt
F1Q893,12.647,2.09E-05,4.6809,0.002005,MPS IIIB - EOfAD-like; MPS IIIB - QC; MPS IIIB - wt
Q642M8,12.64,2.09E-05,4.6789,0.002005,MPS IIIB - EOfAD-like; QC - EOfAD-like; MPS IIIB - wt
B0S6H4,12.5,2.29E-05,4.6409,0.0021671,EOfAD-like - MPS IIIB; QC - MPS IIIB; wt - MPS IIIB
E7F2M5,12.405,2.43E-05,4.615,0.0022786,EOfAD-like - MPS IIIB; QC - MPS IIIB; wt - MPS IIIB
A2BG43,12.376,2.47E-05,4.6072,0.0022985,EOfAD-like - MPS IIIB; EOfAD-like - QC; wt - MPS IIIB; wt - QC
A0A8M2BHB1,12.36,2.50E-05,4.6027,0.0023009,EOfAD-like - MPS IIIB; EOfAD-like - QC; EOfAD-like - wt; wt - MPS IIIB
A0A8N7T8N4,12.271,2.64E-05,4.5784,0.0024107,EOfAD-like - MPS IIIB; QC - EOfAD-like; wt - EOfAD-like; QC - MPS IIIB; wt - MPS IIIB
Q6TEN6,12.219,2.73E-05,4.564,0.0024692,MPS IIIB - EOfAD-like; MPS IIIB - QC; MPS IIIB - wt
Q502N9,11.706,3.79E-05,4.4214,0.0033987,MPS IIIB - EOfAD-like; MPS IIIB - wt; QC - wt
Q1L8A0,11.681,3.85E-05,4.4143,0.0034239,MPS IIIB - EOfAD-like; MPS IIIB - wt; QC - wt
A0A8M2BA80,11.647,3.94E-05,4.4046,0.0034703,EOfAD-like - MPS IIIB; EOfAD-like - QC; wt - MPS IIIB; wt - QC
F1QYP6,11.592,4.08E-05,4.3889,0.003566,MPS IIIB - EOfAD-like; MPS IIIB - wt
Q7T1R2,11.576,4.13E-05,4.3845,0.0035707,EOfAD-like - MPS IIIB; QC - MPS IIIB; wt - MPS IIIB
Q9W735,11.46,4.45E-05,4.3516,0.0038188,EOfAD-like - MPS IIIB; QC - MPS IIIB; wt - MPS IIIB
Q6PFU1,11.427,4.55E-05,4.3422,0.0038692,EOfAD-like - MPS IIIB; wt - MPS IIIB; wt - QC
A0A8M3AW37,11.341,4.81E-05,4.3176,0.0040597,EOfAD-like - MPS IIIB; EOfAD-like - QC; wt - MPS IIIB; wt - QC
A4IG59,11.275,5.03E-05,4.2986,0.0042061,MPS IIIB - EOfAD-like; MPS IIIB - QC; MPS IIIB - wt
Q7ZVL5,11.235,5.16E-05,4.2871,0.0042795,EOfAD-like - MPS IIIB; EOfAD-like - QC; wt - MPS IIIB
O42364,11.224,5.20E-05,4.2838,0.0042795,MPS IIIB - EOfAD-like; MPS IIIB - wt
A0A8M3B6W1,11.183,5.35E-05,4.2721,0.004361,EOfAD-like - MPS IIIB; QC - MPS IIIB; wt - MPS IIIB
A7MBU4,11.103,5.64E-05,4.249,0.004561,MPS IIIB - EOfAD-like; MPS IIIB - wt
A5PN43,11.007,6.01E-05,4.2213,0.0047922,MPS IIIB - EOfAD-like; QC - EOfAD-like; MPS IIIB - wt; QC - wt
E7F3I2,11.005,6.02E-05,4.2206,0.0047922,EOfAD-like - MPS IIIB; QC - MPS IIIB; wt - MPS IIIB
A1L2D6,10.95,6.24E-05,4.2046,0.0049321,EOfAD-like - MPS IIIB; wt - MPS IIIB; wt - QC
Q7T2C6,10.851,6.68E-05,4.1755,0.0051987,MPS IIIB - EOfAD-like; MPS IIIB - wt
Q803L7,10.849,6.69E-05,4.1749,0.0051987,EOfAD-like - MPS IIIB; wt - MPS IIIB
A0A8N7USY1,10.799,6.91E-05,4.1603,0.0053342,MPS IIIB - EOfAD-like; MPS IIIB - wt; QC - wt
Q7ZUI2,10.669,7.55E-05,4.122,0.0057813,MPS IIIB - EOfAD-like; MPS IIIB - wt
A0A8M6YZS5,10.524,8.33E-05,4.0792,0.0063315,MPS IIIB - EOfAD-like; MPS IIIB - QC; MPS IIIB - wt
A0A8M9QHL6,10.514,8.40E-05,4.0759,0.0063315,EOfAD-like - MPS IIIB; QC - MPS IIIB; wt - MPS IIIB
Q1LYQ9,10.222,0.00010272,3.9884,0.0076877,MPS IIIB - EOfAD-like; MPS IIIB - wt
Q7ZTR9,10.183,0.00010551,3.9767,0.007838,EOfAD-like - MPS IIIB; QC - MPS IIIB; wt - MPS IIIB
A0A8M9PWA7,10.025,0.0001178,3.9288,0.0086771,EOfAD-like - MPS IIIB; EOfAD-like - wt; QC - MPS IIIB; wt - MPS IIIB
A0A8M1Q1F6,10.016,0.00011855,3.9261,0.0086771,EOfAD-like - MPS IIIB; wt - EOfAD-like; QC - MPS IIIB; wt - MPS IIIB
Q7ZUQ1,9.9982,0.00012007,3.9206,0.0087241,EOfAD-like - MPS IIIB; wt - EOfAD-like; wt - MPS IIIB; wt - QC
A0A8M9QJB7,9.9129,0.00012751,3.8945,0.0091974,EOfAD-like - MPS IIIB; wt - MPS IIIB; wt - QC
A0A0R4IX64,9.8627,0.00013211,3.8791,0.0094607,MPS IIIB - EOfAD-like; MPS IIIB - wt
Q5U3A3,9.8161,0.00013655,3.8647,0.0097085,EOfAD-like - MPS IIIB; QC - MPS IIIB; wt - MPS IIIB
E7FA56,9.7902,0.00013908,3.8567,0.0097577,EOfAD-like - MPS IIIB; QC - MPS IIIB; wt - MPS IIIB
A0A8M3AVT4,9.7887,0.00013923,3.8563,0.0097577,EOfAD-like - QC; MPS IIIB - QC; wt - QC
Q567X3,9.7709,0.000141,3.8508,0.0097577,MPS IIIB - EOfAD-like; MPS IIIB - QC; MPS IIIB - wt
Q5CZP5,9.7693,0.00014116,3.8503,0.0097577,MPS IIIB - EOfAD-like; QC - EOfAD-like; MPS IIIB - wt
F1QS24,9.6714,0.00015137,3.82,0.010391,EOfAD-like - MPS IIIB; QC - MPS IIIB; wt - MPS IIIB
Q6PEI8,9.6556,0.00015309,3.8151,0.010437,MPS IIIB - EOfAD-like; wt - EOfAD-like; MPS IIIB - QC
E9QC42,9.6295,0.00015597,3.807,0.010561,MPS IIIB - EOfAD-like; MPS IIIB - QC; MPS IIIB - wt
A0A8M6Z1V1,9.6041,0.00015884,3.7991,0.010683,MPS IIIB - EOfAD-like; EOfAD-like - wt; MPS IIIB - QC; MPS IIIB - wt
A0A8M1NF64,9.5593,0.00016402,3.7851,0.010957,MPS IIIB - EOfAD-like; EOfAD-like - wt; MPS IIIB - wt; QC - wt
Q7T3D6,9.5082,0.00017016,3.7691,0.011292,EOfAD-like - MPS IIIB; wt - MPS IIIB; wt - QC
A0A0R4IQG7,9.4586,0.00017635,3.7536,0.011625,EOfAD-like - MPS IIIB; wt - MPS IIIB; wt - QC
Q6DGP7,9.4448,0.00017812,3.7493,0.011633,MPS IIIB - EOfAD-like; QC - EOfAD-like; MPS IIIB - wt
Q6PH71,9.4395,0.00017881,3.7476,0.011633,EOfAD-like - MPS IIIB; wt - MPS IIIB
F1R520,9.3982,0.00018423,3.7346,0.011908,MPS IIIB - EOfAD-like; MPS IIIB - wt; QC - wt
Q6DH25,9.3286,0.00019376,3.7127,0.012443,EOfAD-like - MPS IIIB; wt - MPS IIIB
Q567W8,9.3069,0.00019684,3.7059,0.01256,EOfAD-like - MPS IIIB; QC - MPS IIIB; wt - MPS IIIB
Q8QHA7,9.0667,0.00023468,3.6295,0.014879,MPS IIIB - EOfAD-like; QC - EOfAD-like; MPS IIIB - wt; QC - wt
Q7ZVE2,9.045,0.00023845,3.6226,0.015023,MPS IIIB - EOfAD-like; MPS IIIB - QC; MPS IIIB - wt
A0A8M6YWJ3,8.99,0.00024834,3.605,0.015486,EOfAD-like - MPS IIIB; wt - MPS IIIB
Q568E7,8.9868,0.00024892,3.6039,0.015486,MPS IIIB - EOfAD-like; MPS IIIB - QC; MPS IIIB - wt
Q6DHL5,8.969,0.00025224,3.5982,0.015595,EOfAD-like - MPS IIIB; wt - MPS IIIB
Q504A2,8.9458,0.00025659,3.5908,0.015766,EOfAD-like - MPS IIIB; EOfAD-like - wt
A0A8M1RHV5,8.9344,0.00025877,3.5871,0.015803,EOfAD-like - MPS IIIB; EOfAD-like - QC; wt - MPS IIIB; wt - QC
A2BFP5,8.8247,0.00028076,3.5517,0.017041,MPS IIIB - EOfAD-like; MPS IIIB - wt
Q5XIX8,8.8048,0.00028496,3.5452,0.017191,MPS IIIB - EOfAD-like; EOfAD-like - wt; MPS IIIB - wt
Q08BC3,8.781,0.00029008,3.5375,0.017394,EOfAD-like - MPS IIIB; wt - MPS IIIB
Q6NYW6,8.7678,0.00029294,3.5332,0.017461,EOfAD-like - MPS IIIB; EOfAD-like - QC; wt - MPS IIIB
A0A8M2BI88,8.7458,0.00029781,3.5261,0.017645,EOfAD-like - MPS IIIB; wt - MPS IIIB
I3ITP3,8.721,0.00030341,3.518,0.017871,EOfAD-like - MPS IIIB; QC - MPS IIIB; wt - MPS IIIB
A0A8M9QL71,8.6971,0.0003089,3.5102,0.018087,EOfAD-like - MPS IIIB; QC - EOfAD-like; QC - MPS IIIB; wt - MPS IIIB; QC - wt
Q5TZG5,8.6143,0.00032873,3.4832,0.019136,EOfAD-like - MPS IIIB; QC - MPS IIIB; wt - MPS IIIB
Q58EC1,8.5972,0.00033299,3.4776,0.019271,EOfAD-like - MPS IIIB; wt - EOfAD-like; wt - MPS IIIB; wt - QC
E7EZQ7,8.5763,0.00033829,3.4707,0.019464,EOfAD-like - MPS IIIB; EOfAD-like - QC; EOfAD-like - wt
F1Q510,8.551,0.00034482,3.4624,0.019726,MPS IIIB - EOfAD-like; wt - EOfAD-like
Q6DC49,8.5378,0.00034829,3.4581,0.019811,EOfAD-like - MPS IIIB; QC - MPS IIIB; wt - MPS IIIB
A0A8M3B814,8.5232,0.00035215,3.4533,0.019917,EOfAD-like - MPS IIIB; QC - MPS IIIB; wt - MPS IIIB
Q6P0Z0,8.4866,0.00036206,3.4412,0.020361,MPS IIIB - EOfAD-like; QC - EOfAD-like; MPS IIIB - wt; QC - wt
A0A8M9PQF2,8.39,0.00038966,3.4093,0.02179,MPS IIIB - EOfAD-like; MPS IIIB - wt
Q08CH2,8.3696,0.00039577,3.4026,0.022008,MPS IIIB - EOfAD-like; QC - EOfAD-like; MPS IIIB - wt; QC - wt
Q7T3F3,8.3529,0.00040084,3.397,0.022167,EOfAD-like - MPS IIIB; wt - EOfAD-like; wt - MPS IIIB; wt - QC
A0A8M9PV37,8.3334,0.00040689,3.3905,0.022377,MPS IIIB - EOfAD-like; MPS IIIB - QC; MPS IIIB - wt
Q2HPG0,8.3258,0.00040924,3.388,0.022383,EOfAD-like - MPS IIIB; QC - MPS IIIB; wt - MPS IIIB
A0A8M2B1M4,8.2748,0.00042556,3.371,0.022854,EOfAD-like - MPS IIIB; wt - EOfAD-like; wt - MPS IIIB; wt - QC
Q6NUZ1,8.2731,0.00042612,3.3705,0.022854,MPS IIIB - EOfAD-like; MPS IIIB - wt
Q561X9,8.271,0.00042681,3.3698,0.022854,MPS IIIB - EOfAD-like; MPS IIIB - wt
Q566W7,8.2702,0.00042704,3.3695,0.022854,EOfAD-like - MPS IIIB; EOfAD-like - QC; EOfAD-like - wt; MPS IIIB - QC; wt - QC
F1QCH5,8.2512,0.00043335,3.3632,0.023067,EOfAD-like - MPS IIIB; EOfAD-like - QC; wt - MPS IIIB
Q6P104,8.1708,0.00046101,3.3363,0.024409,EOfAD-like - MPS IIIB; wt - MPS IIIB
A0A8M9PHR9,8.1351,0.00047388,3.3243,0.02491,EOfAD-like - MPS IIIB; EOfAD-like - QC; wt - MPS IIIB; wt - QC
Q5TZ18,8.1307,0.00047549,3.3229,0.02491,EOfAD-like - MPS IIIB; wt - MPS IIIB
E7FBI4,8.0734,0.00049708,3.3036,0.025905,EOfAD-like - MPS IIIB; EOfAD-like - QC; wt - MPS IIIB; wt - QC
